Stagione;Giornata;Home;Away;GH;GA;PntH;PntA
2021-22;16;ACDF;Big Black Cimamori;2;2;73;75
2021-22;16;Agghiaggiande;Los Angeles;2;0;75;63,5
2021-22;16;CSKA Moscow Mule;Vanndoria;2;2;74;74,5
2021-22;16;Der Holzfaller;Parter;1;2;70;73,5
2021-22;16;FK Partizena;Olympique Bidet;0;3;58;79,5
2021-22;17;Agghiaggiande;Vanndoria;1;2;70,5;75,5
2021-22;17;Big Black Cimamori;CSKA Moscow Mule;1;1;69,5;69,5
2021-22;17;Los Angeles;Der Holzfaller;1;1;70,5;69,5
2021-22;17;Olympique Bidet;ACDF;2;0;75;63
2021-22;17;Parter;FK Partizena;0;0;62;64,5
2021-22;19;ACDF;Los Angeles;2;0;68;49,5
2021-22;19;Big Black Cimamori;Agghiaggiande;0;2;65;72
2021-22;19;CSKA Moscow Mule;Parter;1;0;68;65
2021-22;19;FK Partizena;Der Holzfaller;0;1;59;70
2021-22;19;Vanndoria;Olympique Bidet;1;2;69;71,5
2021-22;20;Agghiaggiande;FK Partizena;1;1;69;69,5
2021-22;20;Der Holzfaller;ACDF;2;2;75;75,5
2021-22;20;Los Angeles;CSKA Moscow Mule;1;3;70,5;77,5
2021-22;20;Olympique Bidet;Big Black Cimamori;2;0;73,5;65,5
2021-22;20;Parter;Vanndoria;0;0;65,5;62
2021-22;21;ACDF;FK Partizena;1;1;69,5;66,5
2021-22;21;Big Black Cimamori;Parter;4;0;82,5;65,5
2021-22;21;CSKA Moscow Mule;Der Holzfaller;1;1;68,5;68,5
2021-22;21;Olympique Bidet;Agghiaggiande;1;1;69;67,5
2021-22;21;Vanndoria;Los Angeles;0;0;62;64
2021-22;22;Agghiaggiande;ACDF;2;1;71,5;70
2021-22;22;Der Holzfaller;Vanndoria;1;0;67,5;59
2021-22;22;FK Partizena;CSKA Moscow Mule;0;2;65;73
2021-22;22;Los Angeles;Big Black Cimamori;2;0;71;59,5
2021-22;22;Parter;Olympique Bidet;2;2;72,5;71,5
2021-22;23;Big Black Cimamori;Der Holzfaller;2;1;71,5;70,5
2021-22;23;CSKA Moscow Mule;ACDF;2;2;72;72
2021-22;23;Olympique Bidet;Los Angeles;1;0;69;63
2021-22;23;Parter;Agghiaggiande;1;3;67,5;77,5
2021-22;23;Vanndoria;FK Partizena;1;0;66;64,5
2021-22;24;ACDF;Vanndoria;2;0;72;61
2021-22;24;Agghiaggiande;CSKA Moscow Mule;2;1;72,5;67,5
2021-22;24;Der Holzfaller;Olympique Bidet;1;0;67;56,5
2021-22;24;FK Partizena;Big Black Cimamori;1;0;69,5;63
2021-22;24;Los Angeles;Parter;1;0;69,5;62,5
2021-22;25;Big Black Cimamori;ACDF;1;1;68;68,5
2021-22;25;Los Angeles;Agghiaggiande;1;0;66;63
2021-22;25;Olympique Bidet;FK Partizena;0;4;62,5;84,5
2021-22;25;Parter;Der Holzfaller;3;1;78,5;66
2021-22;25;Vanndoria;CSKA Moscow Mule;0;1;63;68,5
2021-22;26;ACDF;Olympique Bidet;0;1;65,5;69,5
2021-22;26;CSKA Moscow Mule;Big Black Cimamori;1;2;70;72
2021-22;26;Der Holzfaller;Los Angeles;0;3;64;77,5
2021-22;26;FK Partizena;Parter;0;2;62;71,5
2021-22;26;Vanndoria;Agghiaggiande;4;2;81;73
2021-22;27;Agghiaggiande;Der Holzfaller;2;2;71;72,5
2021-22;27;Big Black Cimamori;Vanndoria;0;1;60;68,5
2021-22;27;Los Angeles;FK Partizena;1;1;69,5;68
2021-22;27;Olympique Bidet;CSKA Moscow Mule;2;1;71,5;67
2021-22;27;Parter;ACDF;1;1;69,5;69,5
2021-22;28;Agghiaggiande;Big Black Cimamori;1;2;68,5;74
2021-22;28;Der Holzfaller;FK Partizena;2;0;74;65
