Nome;Stagione;QI;QA;Diff;VI;VA;VFA
ZAPATA D.;2022-23;32;16;-16;11,9;11,1;11,5
ZAPPACOSTA;2022-23;10;4;-6;4,55;4,25;4,4
ZIELINSKI;2022-23;19;26;7;4,25;4,6;4,42
ZIMA;2022-23;5;4;-1;0,05;0,05;0,05
ZOET;2022-23;1;5;4;0,1;0,3;0,2
ZURKOWSKI;2022-23;8;1;-7;2,1;1,75;1,93
LUKAKU;2022-23;40;19;-21;16,1;15,05;15,58
ONANA;2022-23;1;13;12;0,05;0,65;0,35
OKOLI;2022-23;5;3;-2;0,55;0,45;0,5
WIJNALDUM;2022-23;16;8;-8;1;0,6;0,8
CEIDE;2022-23;2;4;2;1,55;1,65;1,6
HONGLA;2022-23;3;1;-2;0,05;0,05;0,05
BAYEYE;2022-23;1;2;1;0,05;0,1;0,08
VILHENA;2022-23;8;11;3;0,15;0,3;0,23
LUIS MAXIMIANO;2022-23;11;1;-10;5;4,5;4,75
KIM;2022-23;14;16;2;4;4,1;4,05
ISMAJLI;2022-23;4;8;4;0,05;0,25;0,15
OLIVERA;2022-23;7;9;2;0,15;0,25;0,2
LAZARO;2022-23;6;6;0;0,75;0,75;0,75
HJULMAND;2022-23;7;8;1;0,05;0,1;0,08
RANOCCHIA F.;2022-23;3;12;9;0,05;0,5;0,28
MIRETTI;2022-23;8;8;0;0,9;0,9;0,9
BOER;2022-23;1;1;0;0,05;0,05;0,05
SVILAR;2022-23;1;1;0;0,05;0,05;0,05
BIRINDELLI;2022-23;4;6;2;2;2,1;2,05
ILKHAN;2022-23;3;1;-2;0,7;0,6;0,65
LOVRIC;2022-23;6;16;10;0,5;1;0,75
MALDINI;2022-23;2;9;7;0,15;0,5;0,33
MEDEL;2022-23;7;7;0;0,05;0,05;0,05
CEESAY;2022-23;11;15;4;0,6;0,8;0,7
FAGIOLI;2022-23;3;12;9;0,25;0,7;0,47
TERZIC;2022-23;2;4;2;0,15;0,25;0,2
STREFEZZA;2022-23;14;26;12;1;1,6;1,3
KVARATSKHELIA;2022-23;21;31;10;10,5;11;10,75
CACACE;2022-23;3;2;-1;0,05;0,05;0,05
BARBERIS;2022-23;6;2;-4;0,05;0,05;0,05
LOOKMAN;2022-23;16;34;18;3,6;4,5;4,05
MARI';2022-23;10;7;-3;0,05;0,05;0,05
SABIRI;2022-23;15;5;-10;5,4;4,9;5,15
MARLON;2022-23;7;4;-3;1,2;1,05;1,12
LAMMERS;2022-23;14;10;-4;1,05;0,85;0,95
GHIGLIONE;2022-23;6;3;-3;0,05;0,05;0,05
GILA;2022-23;4;2;-2;0,15;0,05;0,1
COULIBALY L.;2022-23;5;9;4;0,1;0,3;0,2
DI FRANCESCO F.;2022-23;12;12;0;0,05;0,05;0,05
DODO';2022-23;14;7;-7;3,25;2,9;3,08
MASINA;2022-23;9;5;-4;2,25;2,05;2,15
LUCUMI';2022-23;10;6;-4;0,75;0,55;0,65
GOLLINI;2022-23;12;2;-10;4,5;4;4,25
VLASIC;2022-23;15;22;7;6;6,35;6,17
MARCOS ANTONIO;2022-23;10;3;-7;2,2;1,85;2,03
CARBONI;2022-23;6;1;-5;0,55;0,3;0,43
THORSTVEDT;2022-23;9;10;1;1,5;1,55;1,52
NDOMBELE';2022-23;11;6;-5;2,5;2,25;2,38
LOCHOSHVILI;2022-23;3;4;1;0,2;0,25;0,23
SUCCESS;2022-23;13;11;-2;0,5;0,4;0,45
BASCHIROTTO;2022-23;2;12;10;0,05;0,55;0,3
ADLI;2022-23;6;2;-4;0,05;0,05;0,05
DE KETELAERE;2022-23;20;10;-10;14;13,5;13,75
CARNESECCHI;2022-23;1;12;11;0,5;1,05;0,78
SCHUURS;2022-23;9;12;3;3;3,15;3,08
