ID;Nome;Data_nascita;Luogo_nascita;Nazionalita;url
ZAMBO ANGUISSA;ZAMBO ANGUISSA Andrè;16/11/1995;Yaounde;Camerun;https://img.a.transfermarkt.technology/portrait/header/354361-1632391268.jpg?lm=1
ZANIMACCHIA;ZANIMACCHIA Luca;19/07/1998;Desio;Italia;https://img.a.transfermarkt.technology/portrait/header/407265-1599038787.jpg?lm=1
ZANIOLO;ZANIOLO Nicolo;02/07/1999;Massa;Italia;https://img.a.transfermarkt.technology/portrait/header/392085-1630498680.jpg?lm=1
ZAPATA C.;ZAPATA Cristian;30/09/1986;Padilla;Colombia;
ZAPATA D.;ZAPATA Duvan;01/04/1991;Cali;Colombia;https://img.a.transfermarkt.technology/portrait/header/73794-1661508410.jpg?lm=1
ZAPPA;ZAPPA Gabriele;22/12/1999;Monza;Italia;
ZAPPACOSTA;ZAPPACOSTA Davide;11/06/1992;Sora;Italia;https://img.a.transfermarkt.technology/portrait/header/173859-1661268432.jpg?lm=1
ZAZA;ZAZA Simone;25/06/1991;Policoro;Italia;
ZENNARO;ZENNARO Mattia;03/08/2000;Venezia;Italia;
ZIELINSKI;ZIELINSKI Piotr;20/05/1994;Zabkowice Slaskie;Polonia;https://img.a.transfermarkt.technology/portrait/header/181136-1596002218.jpg?lm=1
ZIMA;ZIMA David;08/11/2000;Olomouc;Repubblica Ceca;https://img.a.transfermarkt.technology/portrait/header/544149-1605982598.png?lm=1
ZMRHAL;ZMRHAL Jaromir;02/08/1993;Zatec;Repubblica Ceca;
ZOET;ZOET Jeroen;06/01/1991;Veendam;Olanda;https://img.a.transfermarkt.technology/portrait/header/79045-1602505437.jpg?lm=1
ZURKOWSKI;ZURKOWSKI Szymon;25/09/1997;Tychy;Polonia;https://img.a.transfermarkt.technology/portrait/header/387234-1656583041.jpg?lm=1
